website	categorie1	categorie2	categorie3	categorie4
wefashion.nl	Mode & sieraden			
cameranu.nl	Elektronica			
bax-shop.nl	Hobby			
delta.nl	IT & Kantoor			
aliexpress.com	Warenhuizen			
kras.nl	Vakantie			
t-mobile.nl	IT & Kantoor			
adobe.com	IT & Kantoor			
nubuiten.nl	Sport & Recreatie			
ziggo.nl	IT & Kantoor			
udemy.com	Overige			
vliegtickets.nl	Vakantie			
studystore.nl	Overige			
vliegwinkel.nl	Vakantie			
booking.com	Vakantie			
lightspeedhq.nl	IT & Kantoor			
pricewise.nl	Overige			
decathlon.nl	Sport & Recreatie			
simpel.nl	IT & Kantoor			
nordvpn.com	IT & Kantoor			
allekabels.nl	IT & Kantoor			
trivago.nl	Vakantie			
drukzo.nl	IT & Kantoor			
conrad.nl	IT & Kantoor			
oxxio.nl	Overige			
greetz.nl	Cadeaus & Gadgets			
skyscanner.nl	Vakantie			
expedia.nl	Vakantie			
ledlichtdiscounter.nl	Huis, Tuin & Dier			
belvilla.nl	Vakantie			
ikwilzitzakken.nl	Huis, Tuin & Dier			
kinguin.net	IT & Kantoor	Boeken & Media		
instacosmetic.be	Gezondheid			
argeweb.nl	IT & Kantoor			
ibood.com	Overige			
madamevacances.com	Vakantie			
centralpoint.nl	IT & Kantoor			
albelli.nl	Cadeaus & Gadgets			
desigual.com	Mode & sieraden			
hema.nl	Warenhuizen			
nti.nl	Overige			
budgetair.nl	Vakantie			
zalando-lounge.nl	Mode & sieraden			
rentalcars.com	Voertuigen			
lidl-shop.nl	Warenhuizen			
plus.nl	Eten & Drinken			
maxiaxi.com	IT & Kantoor	Boeken & Media	Huis, Tuin & Dier	
dominos.nl	Eten & Drinken			
droomparken.nl	Vakantie			
bagageonline.nl	Mode & sieraden			
relatieplanet.nl	Dating			
bet-at-home.com	Overige			
groupon.nl	Overige			
ferratum.nl	Overige			
g2a.com	Boeken & Media	IT & Kantoor		
fonteyn.nl	Huis, Tuin & Dier			
vrijbuiter.nl	Sport & Recreatie			
daka.nl	Sport & Recreatie			
gsmweb.nl	IT & Kantoor			
flyeralarm.com	IT & Kantoor			
etoro.com	Overige			
texel.net	Vakantie			
coursera.org	Overige			
tele2.nl	IT & Kantoor			
transavia.com	Vakantie			
anwb.nl	Vakantie	Mode & Sieraden	Sport & Recreatie	
wijnbeurs.nl	Eten & Drinken			
reclameland.nl	Overige			
independer.nl	Overige			
loi.nl	Overige			
voetbalshop.nl	Sport & Recreatie			
tripadvisor.nl	Vakantie			
hotelspecials.nl	Vakantie			
catawiki.nl	Mode & sieraden	Huis, Tuin & Dier	Overige	
goosevpn.com	IT & Kantoor			
tui.nl	Vakantie			
worldcard.nl	Overige			
ritel.nl	IT & Kantoor			
foka.nl	IT & Kantoor	Elektronica	Hobby	
beterbed.nl	Huis, Tuin & Dier			
marliesdekkers.com	Mode & sieraden			
mijndomein.nl	IT & Kantoor			
vidaxl.nl	Warenhuizen			
dekbed-discounter.nl	Huis, Tuin & Dier			
wtc.nl	Overige			
333travel.nl	Vakantie			
bemz.com	Huis, Tuin & Dier			
fiverr.com	IT & Kantoor	Overige		
nle.nl	Overige			
reaal.nl	Overige			
markets.com	Overige			
lampdirect.nl	Huis, Tuin & Dier			
medpets.nl	Gezondheid	Huis, Tuin & Dier		
tvc-mall.com	Warenhuizen			
slangenreizen.nl	Vakantie			
blokhutvillage.nl	Vakantie			
large.nl	Warenhuizen	Mode & Sieraden	Boeken & Media	
dreamlines.nl	Vakantie			
ben.nl	Overige	IT & Kantoor		
tomtom.com	IT & Kantoor	Voertuigen		
catawiki.com	Mode & sieraden	Huis, Tuin & Dier	Overige	
jeanscentre.nl	Mode & sieraden			
sanitairkamer.nl	Huis, Tuin & Dier			
myxlshop.nl	Cadeaus & Gadgets			
kinderkleding.nl	Mode & sieraden			
easyswitch.nl	Overige			
hostgator.com	IT & Kantoor			
yourmastercard.nl	Overige			
yoursurprise.nl	Cadeaus & Gadgets			
geekbuying.com	IT & Kantoor			
accorhotels.com	Vakantie			
drukwerkdeal.nl	IT & Kantoor	Overige		
remarkt.nl	IT & Kantoor			
gaslicht.com	Overige			
aboutyou.nl	Mode & sieraden			
fietsenwinkel.nl	Voertuigen			
nedgame.nl	Boeken & Media			
wix.com	IT & Kantoor			
aktiesport.nl	Sport & Recreatie			
koopjesdrogisterij.nl	Gezondheid			
yourhosting.nl	IT & Kantoor			
simyo.nl	IT & Kantoor			
lycamobile.nl	IT & Kantoor			
jdsports.nl	Sport & Recreatie			
expert.nl	Elektronica			
nike.com	Mode & sieraden	Sport & Recreatie		
bitdefender.com	IT & Kantoor			
jouwweb.nl	IT & Kantoor			
topbloemen.nl	Cadeaus & Gadgets			
bbi-travel.nl	Vakantie			
sixt.nl	Voertuigen	Vakantie		
scotch-soda.com	Mode & sieraden			
giftforyou.nl	Cadeaus & Gadgets			
bookdepository.com	Boeken & Media			
neostrada.nl	IT & Kantoor			
allcamps.nl	Vakantie			
easytoys.nl	Erotiek			
coolcat.nl	Mode & sieraden			
unitedconsumers.com	Overige			
zooplus.nl	Huis, Tuin & Dier			
bitdefender.nl	IT & Kantoor			
drogisterij.net	Gezondheid			
thalys.com	Vakantie			
hotelscombined.com	Vakantie			
50five.nl	Warenhuizen	Sport & Recreatie	Huis, Tuin & Dier	Hobby
jbl.nl	Elektronica	Hobby	Boeken & Media	
one.com	IT & Kantoor			
thelittlegreenbag.nl	Mode & sieraden			
vueling.com	Vakantie			
klm.com	Vakantie			
schulteherenmode.nl	Mode & sieraden			
microsoft.com	IT & Kantoor			
wearelabels.com	Mode & sieraden	Cadeaus & Gadgets		
sans-online.nl	Mode & sieraden			
datona.nl	Hobby	Huis, Tuin & Dier		
bluenile.com	Mode & sieraden			
newyorkpizza.nl	Eten & Drinken			
ticketveiling.nl	Vakantie	Sport & Recreatie		
avis.nl	Vakantie	Voertuigen		
sacha.nl	Mode & sieraden			
oad.nl	Vakantie			
voordeeldrogisterij.nl	Gezondheid			
888casino.com	Overige			
emirates.com	Vakantie			
kamernet.nl	Overige			
staples.nl	IT & Kantoor			
menatwork.nl	Mode & sieraden			
caiway.nl	IT & Kantoor			
youfone.nl	IT & Kantoor			
tegeldepot.nl	Huis, Tuin & Dier	Hobby		
kleertjes.com	Mode & sieraden			
soccerfanshop.nl	Mode & sieraden	Sport & Recreatie		
hotels.com	Vakantie			
hiltonhotels.com	Vakantie			
gearbest.com	Warenhuizen			
schipholtickets.nl	Vakantie			
rajapack.nl	IT & Kantoor			
klingel.nl	Mode & sieraden			
banggood.com	Warenhuizen	Cadeaus & Gadgets	IT & Kantoor	
marktplaats.nl	Warenhuizen	Overige		
score.nl	Mode & sieraden	Sport & Recreatie		
movavi.com	IT & Kantoor	Boeken & Media		
dhgate.com	Warenhuizen	Mode & Sieraden	Cadeaus & Gadgets	Sport & Recreatie
goedideereizen.nl	Vakantie			
huurstunt.nl	Overige			
luisaviaroma.com	Mode & sieraden			
asos.com	Mode & sieraden			
agoda.com	Vakantie			
soliver.nl	Mode & sieraden			
lacouronneducomte.nl	IT & Kantoor	Hobby		
werkenbijsandd.nl	Overige			
directwonen.nl	Overige			
vivara.nl	Overige			
gorillasports.nl	Sport & Recreatie			
linkedin.com	Overige			
informatique.nl	IT & Kantoor	Boeken & Media	Hobby	
brandnewday.nl	Overige			
qatarairways.com	Vakantie			
route.nl	Vakantie			
canvasholidays.nl	Vakantie			
